Booking_ID,Hotel_ID,Country,Brand_Tier,Star_Rating,Room_Type,Nights_Stayed,Booking_Channel,Meals_Included,Payment_Type,Customer_Age,Lead_Time_Days,Checkin_Date,Checkin_Month,Is_Weekend,Is_Public_Holiday,Occupancy_Rate_Property,Competitor_Avg_Rate_RM,Distance_To_Center_KM,Review_Score,Promo_Applied,Events_Index_City,ADR_RM,Total_Spend_RM,Extra_Spend_Unscaled,Satisfaction_Rating
2360,H026,SINGAPORE,upscale,4,Double,4,Walk-in,No,Online,22.0,45,2024-05-13,5,0,0,0.784,415.14,0.83,7.95,0,70.9,458.75,1875.99,43173,2
2493,H006,Singapore,economy,1,Double,4,Walk-in, No ,Online,22.0,41,2023-12-11,12,0,0,0.771,104.87,2.95,7.52,0,56.3,103.12,433.34,44423,4
172,H033,Thailand,midscale,4,suite,2, Online ,Yes,Card,41.0,26,2024-06-12,6,0,0,0.715,514.49,0.98,8.73,1,56.2,525.62,1123.38,5022,4
5659,H018,Malaysia,midscale,3,Single,2,Travel Agent,Yes,Online,19.0,44,2023-12-20,12,0,1,0.78,265.64,3.68,7.71,0,75.0,263.75,635.46,104455,5
5719,H071,Thailand,Midscale,3,Double,2,Online,Yes,Card,35.0,65,2023-10-02,10,0,0,0.868,212.21,6.81,9.36,0,46.1,234.31,530.34,70545,5
859,H005,UK,economy,1,Single,3,Online, Yes ,Online,39.0,14,2022-12-10,12,1,0,0.757,82.48,2.84,7.36,0,53.2,83.98,351.21,53100,4
1866,H074,Malaysia,economy,1,Double,4,Travel Agent,Yes,Card,34.0,21,2024-12-06,12,0,0,0.809,,5.85,6.02,0,66.4,94.18,475.33,93786,4
6500,H038, Malaysia ,economy,3,Single,5,Online,YES,Card,31.0,31,2022-12-07,12,0,0,0.9,186.79,3.85,6.7,0,60.4,189.16,986.56,98575,5
6194,H066,THAILAND,midscale,3,Single,2,Online,Yes,Card,35.0,17,2022-11-07,11,0,0,0.745,212.67,3.48,8.32,0,49.6,193.02,504.28,22595,5
1855,H041,,upscale,4,Double,2,Online,No,Online,56.0,44,2024-03-07,3,0,0,0.811,443.63,3.2,9.48,0,58.1,451.48,953.8,16601,3
4597,H003,Thailand,midscale,2,Double,2, Online ,Yes,Cash,31.0,19,2022-04-08,4,0,0,0.715,143.95,4.56,8.17,0,54.7,162.96,423.79,44774,4
3513,H074,Malaysia,economy,1,Single,3,Travel Agent, No ,Card,18.0,0,2023-08-30,8,0,0,0.752,83.44,5.85,7.13,0,65.2,81.29,259.86,9318,4
